duration,comment_count,view_count,like_count,video_id
60,79,62069,4615,oBVSulldEgs
848,1750,277703,18111,o376MSUSD9I
36,64,68903,5818,sY1ACmXabVA
48,49,51018,4059,O6AuqTl9q5M
55,142,57823,4677,CWFmZtw8PRw
36,37,30242,2661,izO4YYYUHzc
53,19,34513,2944,0lglCe4yqNU
48,33,44144,4633,pTygHZrMZHE
47,26,27638,2326,XYMcOxB6W-c
49,50,77323,7659,0PE6VACgby0
37,20,25818,2465,xc9pIjIrwzg
60,35,55408,5083,VDXZHcLwSas
59,70,136305,16436,kZlX0g1Eq4M
48,20,26168,2576,zo8SnJzcGRk
55,24,46762,4071,Y9jSG-t-vTg
46,35,54938,5185,MrtceRq9YeI
60,64,72714,7283,Z8AGSF3uPms
45,56,60973,5250,Xg2AB1Gp7jc
57,54,40177,3985,YTZrv-BtxA8
60,39,43089,4517,1VMTGVhFvFc
57,46,33465,2760,guClIAzl-64
59,130,122551,13163,Bw1Ac7LNEOo
59,37,46871,4628,x7Jqw08BK0w
47,114,168329,15857,8T4_nwWIXQA
653,849,309920,17404,5xXOMkKLAQo
615,800,349132,22803,YW43UqxxSUY
547,875,465460,22860,IqqirbwI8r8
904,858,218689,17607,6woXmR7pK5k
65,705,333954,22323,WtweBiqQdCo
617,873,576872,21922,T8iEDDtpByI
556,1125,290863,19552,4YGj1H2tC0U
492,545,320424,18111,3xwTp0_gjE8
494,825,500831,23373,iCK1zjImWn4
653,786,427731,23637,TtkS-Rv2CqI
727,505,118369,9162,OlKzeFU1nag
702,1927,359067,32103,hNSlzm0uEl4
970,2709,863035,69816,0ldf9mLUIc4
1154,4713,1902509,110759,0ekE2OUYDZg
734,1252,712376,46617,o0v-DO_56GM
916,7431,1163145,82532,8M4w3ahiuZc
885,1320,657184,44041,W6V5ZBMM0fE
978,1091,740067,46749,-EN-EiUlHyE
1177,5262,3391893,150681,8LduvlphKuE
1245,1904,780916,55669,gJDvyp9Z_8E
7419,3335,1757484,72997,iPBpRoL1Ajk
930,2002,679615,46630,FDJCwncED0o
1026,1341,742192,52994,VD6e3UhMEsc
814,1435,1708185,78982,n1Z4jTxGXLo
1346,2460,1958395,142805,8z__2xFV9j8
839,1817,1173023,61539,vYIvl1QNkow
358,1537,347994,27877,SmYV0uL0XO8
656,997,396178,26047,sr3iaKpdvAU
595,719,359070,25822,BBPE0VnCAI4
690,834,433688,28914,xIKCuguEW8s
2105,1000,1231010,54119,J5PKLnCy8nY
636,1242,320748,28029,fG8_VIEmjf4
795,853,398661,26667,lMiNii4C_TA
76,716,254423,18202,zQAAKgRw2z4
529,675,290545,18836,NRk0AE0MMnM
701,587,443094,25553,mcIwUdHfeRU
532,1399,245698,20659,jRsOLYTlcU4
564,452,205934,24473,P3N-rVm3lIw
488,1098,342897,22946,q6_YZqr05-U
702,1840,650258,45930,sEwmogJd36Q
802,776,414267,27409,9t4jQLEE3Kk
582,655,416179,31152,pgKWai_qSVg
1005,1341,685677,41934,G1tas_8-Sh8
611,834,402275,41262,8bzqTZP70vE
440,813,452985,26576,V73bQvJE2yo
806,1684,509956,40293,Y8RcvEax1tU
532,611,204522,17166,eZNJLsfbX9E
791,1027,580469,42609,G-qzWHmckzc
661,1019,521705,31540,rynQpRuMy9k
629,683,323339,22372,4mRtdeguJUo
608,849,448425,35562,CoyoSk2bgTY
816,892,624956,41054,tqSXUSvXN84
806,687,449626,35512,65nzFJHfAAg
780,840,240472,17004,0zBZMJrCSBA
784,559,426310,27087,SVQ6xT5qJSw
499,871,211354,17322,cqX-zwVMIMA
603,784,537279,27864,0fn0UD_9wWE
459,621,33315,3309,pw7AKcwOgbk
451,244,11223,1407,dVyijJOZB-0
507,296,15533,1693,f4qpyTClGGo
685,1137,74411,7301,42cq0vdBPJw
58,127,101465,8179,z9kPOyxbfrQ
496,1665,431055,31865,ihSuh79z4mc
53,304,101469,14455,PXHlV3g4lpg
752,273,287360,15529,eXr6ptf0PVI
1058,1815,1909527,114015,YvtH5Psg7N0
1303,2508,1530228,106377,PS412i9ZKow
911,6574,2440439,128969,DfQnWgU3DxY
1458,2189,2070909,117150,vGAsa8MLTeg
1066,2332,1371550,84328,drnDl3LccLs
650,5959,793416,64670,3in-sza-UTY
750,4613,1446085,89627,wBG7C8msQ2A
733,3655,1092517,76856,9cWX9CNyylI
1084,374,1362815,11078,fsRchnyrXj8
836,251,1671842,11019,x4wqCrlBNEY
1116,821,1873895,13443,oTZWbgAmTJ0
1119,117,1256101,10254,7XZ2ngd6qPA
1345,194,342509,8087,YQMOW1EYFwg
1296,288,1169271,15983,HfKu2dWjk10
1072,934,2808563,46428,E6tJvAg3EXg
902,455,2835888,29349,_IRhO3D98mw
784,292,2355347,15839,fz8yV-ID4Tk
1049,741,2987287,30503,wFq74ZNahHE
694,294,2038093,16146,ehkD1IP0ZAo
922,1099,1615159,62571,VgCyMzHsZEg
670,145,817298,6736,TFmVLcYI3Gw
761,278,853724,9309,NcrsLAMTZXg
975,311,1104820,18479,c0Q5eV3TKV8
865,393,3522587,23834,hVJou61xRDQ
765,319,1660991,9834,cX2PblphD7g
2029,184,1617717,11122,oBI3bctRkz0
1149,804,1246746,15665,e7vH-mvv--M
1425,911,3339925,9212,vUMbfVRMjVk
1123,939,2333585,12157,wgWDvR9fW-s
9,181,174363,7093,5Hr2Ido7X2I
750,552,826094,6716,qLR-Nh_cYqo
896,811,1608667,11392,pekVFQYiRt8
1180,545,647342,5664,c4k0eZmOdpw
9912,454,587853,5092,7Ec8Yc0T1hY
1093,759,2374768,14524,ZhGE6OZCBEg
13612,443,1009117,6481,Aoxg9eRJ6hE
1022,1286,4932176,32954,3doa-S6oBmE
4294,3139,10306734,56462,F6H9xVJIY48
2953,1240,5846069,26120,gL4KdSFbZSE
1037,5807,766377,72534,D1PSoUpw5Lo
828,5652,2977525,161262,wbawoOcYkGI
639,2103,806410,76029,uTpe2nlppyY
1097,1649,387930,38703,EvOUYWSYUuw
1023,3931,817530,61814,3uCl3KLlp-o
803,972,380143,37973,3Mf3sKHYhJ4
1166,3648,862180,80484,6YEibT-xQRE
932,3743,2185691,110774,kI3nrmEruns
1027,1264,594062,50616,co5bH3fADPw
918,3433,640870,54064,J91bKUO-Ezw
797,1793,1166660,68903,edYqWTlvnrQ
1033,3617,1226700,83837,Np95GHH2_e8
1252,3258,1042069,65745,lcRoHL10Y0g
1121,2990,888776,70699,k3clcIkfyZU
1270,1622,608764,54331,U6MuKLyFQgo
1399,1568,451972,38141,1ZnWrvq0hfw
921,3807,2035815,107813,xbMCd7ds3fI
962,4763,842218,74201,aeZzllLDFso
763,1303,290669,32287,BskEMXSYilA
1221,2502,2426487,111260,b11Z6X-tEvo
1257,7381,920975,83338,bauQgN1q3Bc
527,3121,2674093,140559,OYrVj0sYEI0
1126,7113,930828,64544,mMG0jpeg9hE
970,6911,901705,71313,bYHlSIvcXFs
927,4748,846789,83899,-2qps3n2s44
908,2033,636852,54883,S6hWD7jw8ZA
1065,5614,813509,72597,zKH5rX6LPzs
745,2635,925181,73613,OJcBE4AcWIo
880,2465,1511367,84607,eMXloMFIX0A
1007,6105,2037671,134932,gjw5XJN9rX0
689,6351,1098374,82768,HAf9TuPn0U4
949,3443,988477,69343,dYu81dSYm0A
1547,8164,811759,63258,RitU416cBqY
1026,3277,850422,65438,Ms4jDR-iKC8
959,3574,787242,60378,uFfmnopxTxs
837,1473,344826,33080,wFX5cwKUDWc
636,2254,1215759,90134,mbUWIKwpyUE
1123,5361,689945,75597,OgE8I-rU9-w
1114,1384,676313,53891,BnZGai5d83A
906,8284,814312,67130,JhuH43LrSaY
917,2280,1343180,101306,G4AtX3FCTX4
939,10677,766617,76847,ub6kPBp40AU
955,1243,723855,55747,pAiNx3CG6sc
820,1017,329635,32822,auqmsxTtPJA
1607,7969,2305453,124075,KUOXMITYnKs
2015,8847,2931337,126748,j7XLIunTe5I
1984,4310,1282147,88067,6s5yrvRR_0E
2041,4421,1810863,96415,8koz9n1q-bA
2010,6104,1591577,85362,4q_t8Q03bsA
1597,3769,3760349,119187,ekrpDJNHl08
2033,5842,4067976,134502,M6jQU-h272U
1516,4561,2809022,118074,YFRbBI0VSKs
848,183,122721,10907,66Xg1GkJjdg
745,83,235028,20627,PGefMk7DoPY
3019,1848,1192641,51716,hHNEVLf74ug
1283,983,1206024,71717,QPLweEtlTPc
832,42,153173,11424,trQMLT5DLnE
1199,658,554124,38334,GpUxF8PFbyY
1110,209,153097,9537,7WIuLFjkCbc
1119,177,536594,39971,7w2HYQ1AwZI
1095,190,189578,12260,sEI4lcgmHOI
1221,485,288671,23454,B1WoVXb2tVA
1123,340,353591,21513,EzT74WeNsO4
1099,111,222478,15788,ReOnwqKR080
49,28,250204,29998,5aKv8iWvk60
1144,291,144388,11459,eosaSYclmus
47,118,371251,63778,Uf5Dy4wsF-M
1080,179,157715,8376,pzP64QJv-MI
658,51,144731,9506,MCi9l-ojkzM
902,304,175373,14831,r9mX6fP11XA
2779,208,131387,6123,PKMp0deSdCo
1144,241,530402,35737,WVfud7wX1Sc
623,415,121562,9242,jIuUf4o3e2A
973,80,169849,12664,_1J04gOt5pU
3126,160,70977,4377,RnDW_BRuodk
840,154,312151,24902,U9_uvbz61VY
1028,380,386546,30929,Foqju7HU8t0
878,304,107965,9504,geU8M_3EBbY
1040,86,325577,25002,1JEZd97UBrs
928,225,217135,22871,O32x5wTpfmI
1129,72,198610,7185,nIoXO22olcY
18,19,37300,2047,RT1eZweJPwg
93,20,140481,6306,kiqO6GvWtcE
1356,63,142450,2671,G2Hare_qRAA
1106,52,134803,4878,PvbqeHcGCt4
1073,62,174930,6322,QkXnWJKYOQQ
31,52,521497,62507,c1JVRPeo8X4
42,19,74893,4880,vEgoC2Oa5oQ
1194,43,103549,3649,WsJeEh6QJmU
45,38,28435,1533,JloJa0Q3bh8
36,64,51473,3765,ZayBd7KpNM4
1017,97,222881,8329,tjART907o5g
18,7,18436,1269,S1E9xODLdAo
72,11,13836,699,rxSBgG6qM6M
1640,42,169363,4859,SkwyVM3Uwn0
1041,32,27250,1220,iDAVO8Vx_mo
973,54,171664,6355,-I8YNLPT5GU
47,15,31262,2182,dY3-yMlDtWk
50,23,18107,1464,X4xbv--AtrA
3856,36,57660,2226,H-oUjDrzqnA
1424,58,142880,4761,RUZTpmbrwXw
81,14,20510,1160,dJqYKw4darw
59,21,22012,1630,9lQ4VKT5wws
38,9,15589,982,4b60GO1glCU
1416,47,127775,5047,F3-SfoNh-RI
68,20,41258,2455,AU6mLxk6zTw
1154,51,120282,4094,DsnlUiQ8-OY
1186,47,133983,4304,wGCEgSyiC9Q
1110,115,101047,4276,HQAMlE7ufHg
926,40,113532,3801,iBAw3iW_Slw
47,9,22024,1721,oklBTOURyK4
50,10,19480,1964,O09Dr9tM_tM
1122,89,264503,13273,tSk3uLh1q_Q
1169,99,321139,12462,sij5hPb9pFw
1465,223,598224,25314,LRM4J1M8p2o
1156,119,309765,11716,BNS1dRsFDdU
1156,89,260310,10695,XkCOO8mqhHQ
1127,121,458905,21949,SCWb_xhWanI
1357,141,606315,22010,-U7redLTQUU
982,173,286430,12621,_JDHPl8U4ko
1304,97,335556,14217,mld3iEncOd0
947,139,594471,27037,--7oGoWIy6A
971,75,122032,5937,cyd3jBjzGXs
1243,117,225747,18244,cKK3HRLy5Ng
982,64,163206,8499,XaAKj0OtoRE
1204,139,624860,25177,Xc6pwX5odag
1069,107,510190,18405,RwCfJtmMquc
1163,100,463873,19798,OOatQqWYXL0
60,86,578178,32692,es6A2oJqCtE
1119,107,309291,15523,Iktk-FQ9vjU
1044,220,772837,30720,FLW7hM3yd5c
1412,131,339863,15121,xsVDTH16AmE
988,122,515867,18633,WcUMaXxf3VI
1206,141,361184,15782,yOLmRCZdoaI
1112,113,381811,13989,mqHBgdOoAPU
2306,76,291807,9811,uHq_Lm7fFWg
922,88,211739,10914,DjjvZZehpQE
1023,74,412353,19317,Cf9SxkQIACA
2107,160,485995,17634,8drOfDfrDK4
