Ranking,Canal,Inscritos,Views,VÃ­deos
1,Robin Hood Gamer,21.9M,11.51B,4.53K
2,AuthenticGames,20.1M,8.98B,4.84K
5,TazerCraft,15.2M,6.23B,4.18K
7,Cadres,14.4M,5.66B,2.35K
13,Athos,11.7M,4.76B,2.55K
14,Julia MineGirl,11.5M,8.79B,2.59K
15,JP Plays,11.2M,4.73B,3.97K
17,Marcelodrv,10.5M,2.39B,1.2K
18,Geleia,10.4M,3.3B,2.16K
19,ProbIems,10.4M,6.7B,4.03K
24,MoonKase,8.52M,4.02B,7.18K
32,Minguado,7.5M,2.23B,1.29K
44,viniccius13,6.26M,1.01B,541
45,jvnq,6.13M,2.57B,8.8K
51,HeyDavi,5.66M,785.89M,366
60,Cherryrar,5M,1B,2.1K
66,Inemafoo,4.74M,1.56B,10.02K
72,Bird Ninja,4.58M,474.96M,808
87,Lanioso,4.05M,74.13M,90
88,Rick Marin,4.04M,918.87M,2.18K
94,Tonigon,3.79M,788.03M,437
99,Onerb,3.47M,407.86M,619
